"id","group","page","word","image","audio","audioMeaning","audioExample","textMeaning","textExample","transcription","__v","textExampleTranslate","textMeaningTranslate","wordTranslate"
"5e9f5ee35eb9e72bc21af4aa",0,0,"enjoy","files/01_0011.jpg","files/01_0011.mp3","files/01_0011_meaning.mp3","files/01_0011_example.mp3","To <i>enjoy</i> is to like something.","The woman <b>enjoys</b> riding her bicycle.","[indʒɔ́i]",0,"Женщина любит кататься на велосипеде","Наслаждаться значит любить что-то","наслаждаться"
"5e9f5ee35eb9e72bc21af4ab",0,0,"invite","files/01_0012.jpg","files/01_0012.mp3","files/01_0012_meaning.mp3","files/01_0012_example.mp3","To <i>invite</i> is to ask someone to come to a place or event.","I will <b>invite</b> my friends to my birthday party.","[inváit]",0,"Я приглашаю своих друзей на мой день рождения","Пригласить - это попросить кого-нибудь прийти на место или событие","пригласить"
"5e9f5ee35eb9e72bc21af4ac",0,0,"month","files/01_0014.jpg","files/01_0014.mp3","files/01_0014_meaning.mp3","files/01_0014_example.mp3","A <i>month</i> is one of 12 periods of time in one year.","January is the first <b>month</b> of the year.","[mʌnθ]",0,"январь - первый месяц года","Месяц - это один из 12 периодов времени в году","месяц"
"5e9f5ee35eb9e72bc21af4ad",0,0,"travel","files/01_0015.jpg","files/01_0015.mp3","files/01_0015_meaning.mp3","files/01_0015_example.mp3","To <i>travel</i> is to go to a faraway place on vacation or business.","They will <b>travel</b> to Argentina this summer.","[trǽvəl]",0,"Этим летом они отправятся в Аргентину","Путешествовать - это отправиться в далекое место на отдых или по делам","путешествовать"
"5e9f5ee35eb9e72bc21af4ae",0,0,"love","files/01_0013.jpg","files/01_0013.mp3","files/01_0013_meaning.mp3","files/01_0013_example.mp3","To <i>love</i> is to like something or someone a lot.","I <b>love</b> my family very much.","[lʌv]",0,"Я очень люблю свою семью","Любить значит любить что-то или кого-то много","любовь"
"5e9f5ee35eb9e72bc21af4af",0,0,"typical","files/01_0016.jpg","files/01_0016.mp3","files/01_0016_meaning.mp3","files/01_0016_example.mp3","If something is <i>typical</i>, it is normal, or something that usually happens.","My <b>typical</b> breakfast is toast and eggs.","[típikəl]",0,"Мой типичный завтрак - тост и яйца","Если что-то типичное, это нормально, или что-то, что обычно происходит","типичный"
"5e9f5ee35eb9e72bc21af4b0",0,0,"visit","files/01_0017.jpg","files/01_0017.mp3","files/01_0017_meaning.mp3","files/01_0017_example.mp3","To <i>visit</i> is to go and spend time in another place or see another person.","She wants to <b>visit</b> her grandmother.","[vízit]",0,"Она хочет навестить свою бабушку","Посетить - значит пойти и провести время в другом месте или увидеть другого человека","посещение"
"5e9f5ee35eb9e72bc21af4b1",0,0,"weather","files/01_0018.jpg","files/01_0018.mp3","files/01_0018_meaning.mp3","files/01_0018_example.mp3","<i>Weather</i> is the temperature and the state of the outdoors.","Today’s <b>weather</b> is rainy and cloudy.","[weðər]",0,"Сегодня погода дождливая и облачная","Погода это температура и состояние на улице","погода"
"5e9f5ee35eb9e72bc21af4b2",0,0,"wine","files/01_0020.jpg","files/01_0020.mp3","files/01_0020_meaning.mp3","files/01_0020_example.mp3","<i>Wine</i> is an alcoholic drink made from grapes.","The store carried both red and white <b>wine</b>.","[wain]",0,"В магазине было красное и белое вино","Вино - это алкогольный напиток из винограда","вино"
"5e9f5ee35eb9e72bc21af4b4",0,1,"adventure","files/02_0021.jpg","files/02_0021.mp3","files/02_0021_meaning.mp3","files/02_0021_example.mp3","An <i>adventure</i> is a fun or exciting thing that you do.","Riding in the rough water was an <b>adventure</b>.","[ədvéntʃər]",0,"Езда в бурной воде была приключением","Приключение - это забавная или захватывающая вещь, которую ты делаешь","приключение"
"5e9f5ee35eb9e72bc21af4b3",0,0,"week","files/01_0019.jpg","files/01_0019.mp3","files/01_0019_meaning.mp3","files/01_0019_example.mp3","A <i>week</i> is a period of time that is seven days long.","What are you doing next <b>week</b>?","[wiːk]",0,"Что ты делаешь на следующей неделе?","Неделя - это период времени, который длится семь дней","неделя"
"5e9f5ee35eb9e72bc21af4b5",0,1,"approach","files/02_0022.jpg","files/02_0022.mp3","files/02_0022_meaning.mp3","files/02_0022_example.mp3","To <i>approach</i> something means to move close to it.","The boy <b>approached</b> his school.","[əpróutʃ]",0,"Мальчик приблизился к своей школе","Подойти к чему-то - значит приблизиться к нему","подходить"
"5e9f5ee35eb9e72bc21af4b6",0,1,"chemical","files/02_0024.jpg","files/02_0024.mp3","files/02_0024_meaning.mp3","files/02_0024_example.mp3","A <i>chemical</i> is something that scientists use in chemistry.","The scientist mixed the <b>chemicals</b>.","[kémikəl]",0,"Ученый смешал химикаты","Химическое вещество - это то, что ученые используют в химии","химический"
"5e9f5ee35eb9e72bc21af4b7",0,1,"carefully","files/02_0023.jpg","files/02_0023.mp3","files/02_0023_meaning.mp3","files/02_0023_example.mp3","<i>Carefully</i> means with great attention, especially to detail or safety.","The baby <b>carefully</b> climbed down the stairs.","[kɛ́ərfəli]",0,"Малыш осторожно спускался по лестнице","Осторожно означает с большим вниманием, особенно к деталям или безопасности","внимательно"
"5e9f5ee35eb9e72bc21af4b8",0,1,"create","files/02_0025.jpg","files/02_0025.mp3","files/02_0025_meaning.mp3","files/02_0025_example.mp3","To <i>create</i> means to make something new.","She <b>created</b> an igloo from blocks of snow.","[kriéit]",0,"Она создала иглу из снежных глыб","Создать значит создать что-то новое","создайте"
"5e9f5ee35eb9e72bc21af4b9",0,1,"evil","files/02_0026.jpg","files/02_0026.mp3","files/02_0026_meaning.mp3","files/02_0026_example.mp3","<i>Evil</i> describes something or someone bad or cruel, not good.","They felt a strange, <b>evil</b> presence as they got closer to the house.","[íːvəl]",0,"Они почувствовали странное злое присутствие, когда приблизились к дому","Зло описывает что-то или кого-то плохого или жестокого, а не хорошего","злой"
"5e9f5ee35eb9e72bc21af4ba",0,1,"experiment","files/02_0027.jpg","files/02_0027.mp3","files/02_0027_meaning.mp3","files/02_0027_example.mp3","An <i>experiment</i> is a test that you do to see what will happen.","The student did an <b>experiment</b> in science class.","[ikspérəmənt]",0,"Студент сделал эксперимент в классе науки","Эксперимент - это тест, который вы проводите, чтобы увидеть, что произойдет","эксперимент"
"5e9f5ee35eb9e72bc21af4bb",0,1,"laboratory","files/02_0029.jpg","files/02_0029.mp3","files/02_0029_meaning.mp3","files/02_0029_example.mp3","A <i>laboratory</i> is a room where a scientist works.","My mother works in a <b>laboratory</b>.","[lǽbərətɔ̀ːri]",0,"Моя мама работает в лаборатории","Лаборатория - это комната, где работает ученый","лаборатория"
"5e9f5ee35eb9e72bc21af4bc",0,1,"kill","files/02_0028.jpg","files/02_0028.mp3","files/02_0028_meaning.mp3","files/02_0028_example.mp3","To <i>kill</i> someone or something is to make them die.","I <b>killed</b> the fly.","[kil]",0,"Я убил муху","Убить кого-то или что-то значит заставить их умереть","убийство"
"5e9f5ee35eb9e72bc21af4bd",0,1,"laugh","files/02_0030.jpg","files/02_0030.mp3","files/02_0030_meaning.mp3","files/02_0030_example.mp3","<i>Laugh</i> is the sound made when someone is happy or a funny thing occurs.","The sound of her <b>laugh</b> filled the room.","[læf]",0,"Звук ее смеха заполнил комнату","Смех - это звук, который звучит, когда кто-то счастлив или происходит смешная вещь","смех"
"5e9f5ee35eb9e72bc21af4be",0,1,"loud","files/02_0031.jpg","files/02_0031.mp3","files/02_0031_meaning.mp3","files/02_0031_example.mp3","If a sound is <i>loud</i>, it is strong and very easy to hear.","The man’s voice was so <b>loud</b> that we all could hear him.","[laud]",0,"Голос этого человека был настолько громким, что мы все могли слышать его","Если звук громкий, он сильный и очень легко слышимый","громкий"
"5e9f5ee35eb9e72bc21af4bf",0,1,"nervous","files/02_0032.jpg","files/02_0032.mp3","files/02_0032_meaning.mp3","files/02_0032_example.mp3","When a person is <i>nervous</i>, they think something bad will happen.","The boy became <b>nervous</b> when he heard the news.","[nə́ːrvəs]",0,"Мальчик стал нервным, когда услышал новости","Когда человек нервничает, он думает, что случится что-то плохое","нервная"
"5e9f5ee35eb9e72bc21af4c0",0,1,"noise","files/02_0033.jpg","files/02_0033.mp3","files/02_0033_meaning.mp3","files/02_0033_example.mp3","A <i>noise</i> is an unpleasant sound.","The crying baby made a loud <b>noise</b>.","[nɔiz]",0,"Плачущий ребенок издал громкий шум","Шум - это неприятный звук","шум"
"5e9f5ee35eb9e72bc21af4c1",0,1,"scare","files/02_0035.jpg","files/02_0035.mp3","files/02_0035_meaning.mp3","files/02_0035_example.mp3","To <i>scare</i> someone is to make them feel afraid.","My uncle was <b>scared</b> by what he saw in the room.","[skɛəːr]",0,"Мой дядя испугался увиденного в комнате","Напугать кого-то - значит заставить его бояться","попугать"
"5e9f5ee35eb9e72bc21af4c2",0,1,"project","files/02_0034.jpg","files/02_0034.mp3","files/02_0034_meaning.mp3","files/02_0034_example.mp3","A <i>project</i> is a type of work that you do for school or a job.","His afternoon work <b>project</b> was to paint the room green.","[prάdʒekt]",0,"Его дневной рабочий проект должен был покрасить комнату в зеленый цвет","Проект - это вид работы, которую вы делаете для школы или работы","проект"
"5e9f5ee35eb9e72bc21af4c3",0,1,"secret","files/02_0036.jpg","files/02_0036.mp3","files/02_0036_meaning.mp3","files/02_0036_example.mp3","A <i>secret</i> is something that you do not tell other people.","The two boys were sharing a <b>secret</b>.","[síːkrit]",0,"Два мальчика делились секретом","Секрет это то, что вы не говорите другим людям","секрет"
"5e9f5ee35eb9e72bc21af4c4",0,1,"shout","files/02_0037.jpg","files/02_0037.mp3","files/02_0037_meaning.mp3","files/02_0037_example.mp3","To <i>shout</i> is to say something loudly.","My boss <b>shouted</b> at me because I was late for work.","[ʃaut]",0,"Мой начальник кричал на меня, потому что я опоздал на работу","Кричать - это говорить что-то громко","кричать"
"5e9f5ee35eb9e72bc21af4c5",0,1,"smell","files/02_0038.jpg","files/02_0038.mp3","files/02_0038_meaning.mp3","files/02_0038_example.mp3","To <i>smell</i> something means to use your nose to sense it.","The two friends <b>smelled</b> the flower.","[smel]",0,"Два друга понюхали цветок","Обонять что-то значит использовать свой нос, чтобы почувствовать это","запах"
"5e9f5ee35eb9e72bc21af4c6",0,1,"terrible","files/02_0039.jpg","files/02_0039.mp3","files/02_0039_meaning.mp3","files/02_0039_example.mp3","If something is <i>terrible</i>, it is very bad.","The way he treated his classmate was <b>terrible</b>.","[térəbəl]",0,"То, как он относился к своему однокласснику, было ужасно","Если что-то ужасно, это очень плохо","ужасный"
"5e9f5ee35eb9e72bc21af4c7",0,1,"worse","files/02_0040.jpg","files/02_0040.mp3","files/02_0040_meaning.mp3","files/02_0040_example.mp3","If something is <i>worse</i>, it is of poorer quality than another thing.","Business was <b>worse</b> this month than last month.","[wəːrs]",0,"Бизнес был хуже в этом месяце, чем в прошлом месяце","Если что-то хуже, это хуже, чем что-то другое","хуже"
"5e9f5ee35eb9e72bc21af4c8",0,2,"alien","files/03_0041.jpg","files/03_0041.mp3","files/03_0041_meaning.mp3","files/03_0041_example.mp3","An <i>alien</i> is a creature from a different world.","The <b>alien</b> came in peace.","[éiljən]",0,"пришелец пришел с миром","Инопланетянин - это существо из другого мира","инопланетянин"
"5e9f5ee35eb9e72bc21af4c9",0,2,"among","files/03_0042.jpg","files/03_0042.mp3","files/03_0042_meaning.mp3","files/03_0042_example.mp3","If you are <i>among</i> certain things, they are all around you.","There was a red apple <b>among</b> the green ones.","[əmʌ̀ŋ]",0,"Среди зеленых было красное яблоко","Если вы среди определенных вещей, они все вокруг вас","среди"
"5e9f5ee35eb9e72bc21af4ca",0,2,"chart","files/03_0043.jpg","files/03_0043.mp3","files/03_0043_meaning.mp3","files/03_0043_example.mp3","A <i>chart</i> is a list of information.","We used a <b>chart</b> to see how we had improved.","[tʃɑːrt]",0,"Мы использовали график, чтобы увидеть, как мы улучшили","Диаграмма - это список информации","диаграмма"
"5e9f5ee35eb9e72bc21af4cb",0,2,"cloud","files/03_0044.jpg","files/03_0044.mp3","files/03_0044_meaning.mp3","files/03_0044_example.mp3","A <i>cloud</i> is a group of water drops in the sky.","The sky was filled with white <b>clouds</b>.","[klaud]",0,"Небо было наполнено белыми облаками","Облако - это группа капель воды в небе","облако"
"5e9f5ee35eb9e72bc21af4cc",0,2,"describe","files/03_0045.jpg","files/03_0045.mp3","files/03_0045_meaning.mp3","files/03_0045_example.mp3","To <i>describe</i> is to say or write what someone or something is like.","They <b>described</b> their tree as colorful, with gold ribbon and a star.","[diskráib]",0,"Они описали свое дерево как красочное, с золотой лентой и звездой","Описать - это сказать или написать, на что похож кто-то или что-то","описать"
"5e9f5ee35eb9e72bc21af4cd",0,2,"ever","files/03_0046.jpg","files/03_0046.mp3","files/03_0046_meaning.mp3","files/03_0046_example.mp3","<i>Ever</i> means at any time.","Going skiing last winter was the most fun I’ve <b>ever</b> had.","[évər]",0,"Кататься на лыжах прошлой зимой было самым веселым из всего, что я когда-либо ел","Всегда означает в любое время","когда-либо"
"5e9f5ee35eb9e72bc21af4ce",0,2,"fail","files/03_0047.jpg","files/03_0047.mp3","files/03_0047_meaning.mp3","files/03_0047_example.mp3","To <i>fail</i> means you do not succeed in what you try to do.","Since he <b>failed</b> to get the job, he was sad.","[feil]",0,"Так как он не смог получить работу, ему было грустно","Неудача означает, что вам не удается то, что вы пытаетесь сделать","потерпеть поражение"
"5e9f5ee35eb9e72bc21af4cf",0,2,"grade","files/03_0048.jpg","files/03_0048.mp3","files/03_0048_meaning.mp3","files/03_0048_example.mp3","A <i>grade</i> is a score or mark given to someone’s work.","I managed to get good <b>grades</b> on my report card.","[greid]",0,"Мне удалось получить хорошие оценки на моем табеле","Оценка - это оценка или оценка, присвоенная чьей-либо работе","класс"
"5e9f5ee35eb9e72bc21af4d0",0,2,"instead","files/03_0049.jpg","files/03_0049.mp3","files/03_0049_meaning.mp3","files/03_0049_example.mp3","<i>Instead</i> means in place of.","He ate the carrot <b>instead</b> of the ice cream.","[instéd]",0,"Он съел морковку вместо мороженого","Вместо означает вместо","вместо"
"5e9f5ee35eb9e72bc21af4d1",0,2,"library","files/03_0050.jpg","files/03_0050.mp3","files/03_0050_meaning.mp3","files/03_0050_example.mp3","A <i>library</i> is a place where you go to read books.","The <b>library</b> at school is full of books.","[láibrèri]",0,"Библиотека в школе полна книг","Библиотека - это место, куда вы ходите читать книги","библиотека"
"5e9f5ee35eb9e72bc21af4d2",0,2,"photograph","files/03_0051.jpg","files/03_0051.mp3","files/03_0051_meaning.mp3","files/03_0051_example.mp3","I like taking <i>photographs</i>.","I took this <b>photograph</b> with my cell phone.","[fóutəgrӕf]",0,"Я сделал эту фотографию на свой мобильный","Мне нравится фотографировать","фотография"
"5e9f5ee35eb9e72bc21af4d3",0,2,"planet","files/03_0052.jpg","files/03_0052.mp3","files/03_0052_meaning.mp3","files/03_0052_example.mp3","A <i>planet</i> is a large round thing in space.","Saturn is the <b>planet</b> with the ring around it.","[plǽnət]",0,"Сатурн - планета с кольцом вокруг него","Планета - это большая круглая вещь в космосе","планета"
"5e9f5ee35eb9e72bc21af4d4",0,2,"report","files/03_0053.jpg","files/03_0053.mp3","files/03_0053_meaning.mp3","files/03_0053_example.mp3","A <i>report</i> is something someone writes for school or work.","Karen had trouble writing her <b>report</b>.","[ripɔ́ːrt]",0,"Карен не могла написать свой отчет","Отчет - это то, что кто-то пишет для школы или работы","отчет"
"5e9f5ee35eb9e72bc21af4d5",0,2,"several","files/03_0054.jpg","files/03_0054.mp3","files/03_0054_meaning.mp3","files/03_0054_example.mp3","<i>Several</i> is more than two but not many.","He had to read <b>several</b> books for class.","[sévərəl]",0,"Он должен был прочитать несколько книг для класса","Несколько больше двух, но не много","несколько"
"5e9f5ee35eb9e72bc21af4d6",0,2,"shape","files/03_0055.jpg","files/03_0055.mp3","files/03_0055_meaning.mp3","files/03_0055_example.mp3","An object’s <i>shape</i> is the arrangement of its sides and surfaces.","Even with your eyes closed you can feel the <b>shape</b> of it.","[ʃeip]",0,"Даже с закрытыми глазами вы можете почувствовать его форму","Форма объекта - это расположение его сторон и поверхностей","форма"
"5e9f5ee35eb9e72bc21af4d7",0,2,"solve","files/03_0056.jpg","files/03_0056.mp3","files/03_0056_meaning.mp3","files/03_0056_example.mp3","To <i>solve</i> something is to find an answer to it.","All the students could easily <b>solve</b> the math problem.","[sɑlv]",0,"Все ученики могли легко решить математическую задачу","Решить что-то - значит найти ответ","решать"
"5e9f5ee35eb9e72bc21af4d8",0,2,"suddenly","files/03_0057.jpg","files/03_0057.mp3","files/03_0057_meaning.mp3","files/03_0057_example.mp3","If something happens <i>suddenly</i>, it happens quickly and unexpectedly.","I was surprised when my friends <b>suddenly</b> shouted, 'Happy birthday!'","[sʌ́dnli]",0,"Я был удивлен, когда мои друзья вдруг закричали: 'С днем рождения!'","Если что-то происходит внезапно, это происходит быстро и неожиданно","вдруг, внезапно"
"5e9f5ee35eb9e72bc21af4d9",0,2,"suppose","files/03_0058.jpg","files/03_0058.mp3","files/03_0058_meaning.mp3","files/03_0058_example.mp3","To <i>suppose</i> is to guess.","I <b>suppose</b> I should go home now.","[səpóuz]",0,"Полагаю, мне пора домой","Предположить, значит угадать","предположим"
"5e9f5ee35eb9e72bc21af4da",0,2,"understand","files/03_0059.jpg","files/03_0059.mp3","files/03_0059_meaning.mp3","files/03_0059_example.mp3","To <i>understand</i> something you need to know what it means.","Henry could not <b>understand</b> the message.","[Λndərstǽnd]",0,"Генри не мог понять сообщение","Чтобы понять что-то, нужно знать, что это значит","понимаю"
"5e9f5ee35eb9e72bc21af4db",0,2,"view","files/03_0060.jpg","files/03_0060.mp3","files/03_0060_meaning.mp3","files/03_0060_example.mp3","To <i>view</i> is to look at something.","Michael likes to <b>view</b> himself in the mirror.","[vjuː]",0,"Михаилу нравится видеть себя в зеркале","Смотреть - значит смотреть на что-то","посмотреть"
"5e9f5ee35eb9e72bc21af4dc",0,3,"appropriate","files/04_0061.jpg","files/04_0061.mp3","files/04_0061_meaning.mp3","files/04_0061_example.mp3","When a thing is <i>appropriate</i>, it is right or normal.","It’s <b>appropriate</b> to wear a suit when you go to the office.","[əpróuprièit]",0,"Уместно носить костюм, когда вы идете в офис","Когда вещь уместна, она правильная или нормальная","подходящее"
"5e9f5ee35eb9e72bc21af4dd",0,3,"avoid","files/04_0062.jpg","files/04_0062.mp3","files/04_0062_meaning.mp3","files/04_0062_example.mp3","To <i>avoid</i> something is to stay away from it.","<b>Avoid</b> the broken bottle on the floor.","[əvɔ́id]",0,"Избегайте разбитой бутылки на полу","Избегать чего-либо - значит держаться подальше от этого","избегать"
"5e9f5ee35eb9e72bc21af4de",0,3,"behave","files/04_0063.jpg","files/04_0063.mp3","files/04_0063_meaning.mp3","files/04_0063_example.mp3","To <i>behave</i> is to act in a particular way, especially to be good.","She always <b>behaves</b> well when her father is around.","[bihéiv]",0,"Она всегда ведет себя хорошо, когда ее отец рядом","Вести себя - значит действовать определенным образом, особенно быть хорошим","вести себя"
"5e9f5ee35eb9e72bc21af4df",0,3,"calm","files/04_0064.jpg","files/04_0064.mp3","files/04_0064_meaning.mp3","files/04_0064_example.mp3","When someone is <i>calm</i>, they do not get excited or upset.","A nice warm bath makes me feel so <b>calm</b>.","[kɑːm]",0,"Хорошая теплая ванна заставляет меня чувствовать себя так спокойно","Когда кто-то спокоен, он не волнуется и не расстраивается","спокойный"
"5e9f5ee35eb9e72bc21af4e0",0,3,"concern","files/04_0065.jpg","files/04_0065.mp3","files/04_0065_meaning.mp3","files/04_0065_example.mp3","<i>Concern</i> is a feeling of worry.","I was filled with <b>concern</b> after reading the newspaper.","[kənsə́ːrn]",0,"Я был полон беспокойства после прочтения газеты","Беспокойство - это чувство беспокойства","беспокойство"
"5e9f5ee35eb9e72bc21af4e1",0,3,"content","files/04_0066.jpg","files/04_0066.mp3","files/04_0066_meaning.mp3","files/04_0066_example.mp3","To be <i>content</i> is to be happy and not want more.","The baby looked very <b>content</b> sitting on the floor.","[kəntént]",0,"Ребенок выглядел очень довольным, сидя на полу","Быть довольным значит быть счастливым и не хотеть большего","содержание"
"5e9f5ee35eb9e72bc21af4e2",0,3,"expect","files/04_0067.jpg","files/04_0067.mp3","files/04_0067_meaning.mp3","files/04_0067_example.mp3","If you <i>expect</i> something to happen, you believe it will happen.","I <b>expect</b> the bus to be here very soon.","[ikspékt]",0,"Я ожидаю, что автобус будет здесь очень скоро","Если вы ожидаете, что что-то случится, вы верите, что это произойдет","ожидать"
"5e9f5ee35eb9e72bc21af4e3",0,3,"frequently","files/04_0068.jpg","files/04_0068.mp3","files/04_0068_meaning.mp3","files/04_0068_example.mp3","When something happens <i>frequently</i>, it happens often.","We meet <b>frequently</b>, either at the beginning or end of the week.","[fríːkwəntli]",0,"Мы часто встречаемся, либо в начале, либо в конце недели","Когда что-то случается часто, это случается часто","часто"
"5e9f5ee35eb9e72bc21af4e4",0,3,"habit","files/04_0069.jpg","files/04_0069.mp3","files/04_0069_meaning.mp3","files/04_0069_example.mp3","A <i>habit</i> is a thing that you do often.","Smoking is a bad <b>habit</b> that can kill you.","[hǽbit]",0,"Курение - это вредная привычка, которая может тебя убить","Привычка - это то, что вы часто делаете","привычка"
"5e9f5ee35eb9e72bc21af4e5",0,3,"instruct","files/04_0070.jpg","files/04_0070.mp3","files/04_0070_meaning.mp3","files/04_0070_example.mp3","To <i>instruct</i> is to teach.","My teacher <b>instructs</b> us in several subjects.","[instrʌ́kt]",0,"Мой учитель учит нас нескольким предметам","Обучать - значит учить","инструктирует"
"5e9f5ee35eb9e72bc21af4e6",0,3,"issue","files/04_0071.jpg","files/04_0071.mp3","files/04_0071_meaning.mp3","files/04_0071_example.mp3","An <i>issue</i> is an important topic.","The men spoke about <b>issues</b> that were important to the people.","[íʃuː]",0,"Мужчины говорили о проблемах, которые были важны для людей","Проблема - важная тема","проблема"
"5e9f5ee35eb9e72bc21af4e7",0,3,"none","files/04_0072.jpg","files/04_0072.mp3","files/04_0072_meaning.mp3","files/04_0072_example.mp3","<i>None</i> means not any of something.","He spent all his money. There is <b>none</b> left.","[nʌn]",0,"Он потратил все свои деньги. Там ничего не осталось","Никто не означает не что-то","никто"
"5e9f5ee35eb9e72bc21af4e8",0,3,"patient","files/04_0073.jpg","files/04_0073.mp3","files/04_0073_meaning.mp3","files/04_0073_example.mp3","If people are <i>patient</i>, they don’t become angry or upset easily.","I had to be <b>patient</b> and wait until 5 o’clock to leave.","[péiʃənt]",0,"Я должен был быть терпеливым и ждать, пока 5 часов, чтобы уйти","Если люди терпеливы, они не сердятся и не расстраиваются","пациент"
"5e9f5ee35eb9e72bc21af4e9",0,3,"positive","files/04_0074.jpg","files/04_0074.mp3","files/04_0074_meaning.mp3","files/04_0074_example.mp3","If something is <i>positive</i>, it is good.","She has a <b>positive</b> future ahead of her after finishing college.","[pɑ́zətiv]",0,"У нее впереди хорошее будущее после окончания колледжа","Если что-то положительное, это хорошо","позитивный"
"5e9f5ee35eb9e72bc21af4ea",0,3,"punish","files/04_0075.jpg","files/04_0075.mp3","files/04_0075_meaning.mp3","files/04_0075_example.mp3","To <i>punish</i> means to make someone suffer for breaking the rules or laws.","To <b>punish</b> me, my teacher had me stand in the corner.","[pʌ́niʃ]",0,"Чтобы наказать меня, мой учитель заставил меня встать в углу","Наказать значит заставить кого-то страдать за нарушение правил или законов","наказать"
"5e9f5ee35eb9e72bc21af4eb",0,3,"represent","files/04_0076.jpg","files/04_0076.mp3","files/04_0076_meaning.mp3","files/04_0076_example.mp3","To <i>represent</i> is to speak or act for a person or group.","My lawyer will <b>represent</b> me in court.","[rèprizént]",0,"Мой адвокат будет представлять меня в суде","Представлять - значит говорить или действовать от лица или группы","представлять"
"5e9f5ee35eb9e72bc21af4ec",0,3,"shake","files/04_0077.jpg","files/04_0077.mp3","files/04_0077_meaning.mp3","files/04_0077_example.mp3","To <i>shake</i> is to move back and forth or up and down quickly.","When people <b>shake</b> hands, it usually means they agree.","[ʃeik]",0,"Когда люди пожимают друг другу руки, это обычно означает, что они согласны","Трясти - значит быстро двигаться вперед-назад или вверх-вниз","трясти"
